title,category,pdf_url
Part I,Management,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-I.pdf
Part II,Levying of Customs Duties,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-II.pdf
Part III,Port Dues,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-III.pdf
Part IV,Regulations Inwards,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-IV.pdf
Part V,Entry of Goods Re-imported,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-V.pdf
Part VI,Removal of Goods by Sea or Inland Carriage,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-VI.pdf
Part VII,Regulations Outwards,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-VII.pdf
Part VIII,Trade by Vessels of less than 15 tons Burthen,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-VIII.pdf
Part IX,Regulation Coastwise,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-IX.pdf
Part X,Regulation of Movements of Ships under 250 tons,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-X.pdf
Part XI,Warehousing of Goods,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-XI.pdf
Part XII,General Regulations,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-XII.pdf
Part XIII,"Smuggling, Seizures and Prosecutions Generally",https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-XIII.pdf
Part XIV,Interpretation Of Terms Used In This Ordinance,https://www.customs.gov.lk/wp-content/uploads/2021/06/PART-XIV.pdf
SCHEDULE B,Table of Prohibitions and Restrictions Inwards,https://www.customs.gov.lk/wp-content/uploads/2021/06/ScheduleB-1.pdf
SCHEDULE E,Rules of valuation of imported goods,https://www.customs.gov.lk/wp-content/uploads/2021/06/ScheduleE-1.pdf
SCHEDULE F,Penalties for smuggling offenses,https://www.customs.gov.lk/wp-content/uploads/2021/06/schf.pdf
SCHEDULE G,Terms & conditions of licence to CHA,https://www.customs.gov.lk/wp-content/uploads/2021/06/schg.pdf
